item_id;pedido_id;produto_id;quantidade;preco_unitario
88;31;10;1;8.0
89;31;13;2;7.5
90;31;5;3;25.0
91;31;12;2;9.0
92;31;4;2;22.0
93;32;9;3;12.0
94;32;12;1;9.0
95;33;9;2;12.0
96;34;6;3;5.0
97;34;5;1;25.0
98;34;4;1;22.0
99;34;13;3;7.5
100;35;1;3;15.0
101;35;10;1;8.0
102;35;8;1;3.5
103;36;8;3;3.5
104;36;8;2;3.5
105;36;2;3;18.0
106;36;1;2;15.0
107;37;6;1;5.0
108;37;8;2;3.5
109;38;3;2;20.0
110;38;11;3;10.0
111;38;5;2;25.0
112;39;3;3;20.0
113;39;11;1;10.0
114;39;5;3;25.0
115;39;1;2;15.0
116;39;7;2;7.0
117;40;2;3;18.0
118;40;2;2;18.0
119;40;9;2;12.0
120;40;10;2;8.0
121;41;4;2;22.0
122;41;10;2;8.0
123;41;9;1;12.0
124;42;10;1;8.0
125;42;7;1;7.0
126;42;10;1;8.0
127;43;9;1;12.0
128;43;11;1;10.0
129;43;9;3;12.0
130;44;7;2;7.0
131;45;3;2;20.0
132;45;12;2;9.0
133;45;11;3;10.0
134;45;6;2;5.0
135;46;2;1;18.0
136;46;3;3;20.0
137;46;3;1;20.0
138;47;12;1;9.0
139;47;12;3;9.0
140;47;13;2;7.5
141;47;1;1;15.0
142;48;7;2;7.0
143;48;11;1;10.0
144;48;4;1;22.0
145;49;1;3;15.0
146;49;13;3;7.5
147;49;13;1;7.5
148;49;13;3;7.5
149;49;6;2;5.0
150;50;1;2;15.0
151;50;4;2;22.0
152;50;3;1;20.0
153;50;13;1;7.5
154;50;7;3;7.0
155;51;5;2;25.0
156;51;7;1;7.0
157;51;5;1;25.0
158;51;8;2;3.5
159;51;8;3;3.5
160;52;12;2;9.0
161;52;6;2;5.0
162;53;4;1;22.0
163;53;5;3;25.0
164;53;10;3;8.0
165;54;11;2;10.0
166;54;2;3;18.0
167;55;6;1;5.0
168;55;2;3;18.0
169;55;8;2;3.5
170;55;11;2;10.0
171;56;8;3;3.5
172;56;8;2;3.5
173;57;9;1;12.0
174;57;7;2;7.0
175;57;2;2;18.0
176;57;11;1;10.0
177;58;7;1;7.0
178;58;10;2;8.0
179;58;12;3;9.0
180;58;4;3;22.0
181;59;2;1;18.0
182;59;6;3;5.0
183;59;6;2;5.0
184;59;2;2;18.0
185;60;11;2;10.0
186;60;4;3;22.0
187;61;10;2;8.0
188;61;2;2;18.0
189;61;6;2;5.0
190;62;4;2;22.0
191;62;12;2;9.0
192;63;2;3;18.0
193;63;11;3;10.0
194;63;5;2;25.0
195;64;7;2;7.0
196;64;12;3;9.0
197;64;9;2;12.0
198;65;9;1;12.0
199;65;11;2;10.0
200;65;3;3;20.0
201;65;8;2;3.5
202;66;12;1;9.0
203;66;3;3;20.0
204;67;10;3;8.0
205;67;8;2;3.5
206;67;5;3;25.0
207;68;12;1;9.0
208;68;10;3;8.0
209;68;9;1;12.0
210;68;8;3;3.5
211;68;7;3;7.0
212;69;12;1;9.0
213;69;9;2;12.0
214;69;3;1;20.0
215;70;5;2;25.0
216;70;6;3;5.0
217;70;10;3;8.0
218;70;7;3;7.0
219;70;12;1;9.0
220;71;5;1;25.0
221;71;10;1;8.0
222;72;9;1;12.0
223;72;10;2;8.0
224;73;11;1;10.0
225;73;3;2;20.0
226;74;3;1;20.0
227;74;5;2;25.0
228;74;10;1;8.0
229;75;13;1;7.5
230;76;7;1;7.0
231;76;4;1;22.0
232;76;7;2;7.0
233;77;10;3;8.0
234;77;9;2;12.0
235;77;5;2;25.0
236;78;3;2;20.0
237;78;8;2;3.5
238;78;3;3;20.0
239;78;12;2;9.0
240;79;13;1;7.5
241;79;5;2;25.0
242;79;5;1;25.0
243;79;9;2;12.0
244;80;3;2;20.0
245;80;2;2;18.0
246;80;3;1;20.0
247;81;1;1;15.0
248;81;2;1;18.0
249;81;1;2;15.0
250;81;3;2;20.0
251;81;5;3;25.0
252;82;1;1;15.0
253;82;7;2;7.0
254;82;2;1;18.0
255;82;6;1;5.0
256;83;9;3;12.0
257;83;10;3;8.0
258;83;7;3;7.0
259;84;7;1;7.0
260;85;4;2;22.0
261;85;9;2;12.0
262;85;8;3;3.5
263;85;10;1;8.0
264;85;10;1;8.0
265;86;3;1;20.0
266;86;6;1;5.0
267;87;1;3;15.0
268;87;10;3;8.0
269;87;5;1;25.0
270;88;5;3;25.0
271;88;9;1;12.0
272;88;1;3;15.0
273;89;8;3;3.5
274;89;4;2;22.0
275;89;13;1;7.5
276;89;10;1;8.0
277;89;4;3;22.0
278;90;5;2;25.0
279;90;8;1;3.5
280;90;1;1;15.0
281;90;13;2;7.5
282;91;13;2;7.5
283;91;1;3;15.0
284;91;13;1;7.5
285;91;7;2;7.0
286;92;7;1;7.0
287;92;11;1;10.0
288;92;9;2;12.0
289;92;11;2;10.0
290;93;13;3;7.5
291;93;10;3;8.0
292;94;13;2;7.5
293;94;6;1;5.0
294;94;6;3;5.0
295;94;13;2;7.5
296;94;4;1;22.0
297;95;7;2;7.0
298;95;10;2;8.0
299;95;2;1;18.0
300;95;2;2;18.0
301;95;10;2;8.0
302;96;11;3;10.0
303;96;1;1;15.0
304;96;9;1;12.0
305;96;1;2;15.0
306;97;1;2;15.0
307;97;6;2;5.0
308;97;9;3;12.0
309;97;5;3;25.0
310;98;10;3;8.0
311;99;13;2;7.5
312;100;12;3;9.0
313;100;11;3;10.0
314;100;2;2;18.0
315;101;3;3;20.0
316;101;6;2;5.0
317;101;6;2;5.0
318;102;6;2;5.0
319;102;7;1;7.0
320;102;7;3;7.0
321;102;6;2;5.0
322;102;9;1;12.0
323;103;5;3;25.0
324;103;11;3;10.0
325;103;2;2;18.0
326;103;13;3;7.5
327;103;12;1;9.0
328;104;11;1;10.0
329;104;9;2;12.0
330;105;4;2;22.0
331;105;10;3;8.0
332;106;3;2;20.0
333;107;2;1;18.0
334;107;4;3;22.0
335;107;11;1;10.0
336;108;8;2;3.5
337;109;13;3;7.5
338;110;10;2;8.0
339;110;1;3;15.0
340;110;5;3;25.0
341;111;10;3;8.0
342;111;12;1;9.0
343;112;13;1;7.5
344;112;10;3;8.0
345;112;11;1;10.0
346;113;7;3;7.0
347;113;8;2;3.5
348;113;9;1;12.0
349;113;10;3;8.0
350;114;11;3;10.0
351;114;11;2;10.0
352;114;4;2;22.0
353;114;4;3;22.0
354;115;2;1;18.0
355;115;4;3;22.0
356;115;7;1;7.0
357;115;2;1;18.0
358;116;8;3;3.5
359;116;2;2;18.0
360;116;13;2;7.5
361;116;9;1;12.0
362;116;10;2;8.0
363;117;8;1;3.5
364;117;11;3;10.0
365;118;11;3;10.0
366;118;2;2;18.0
367;119;5;1;25.0
368;119;7;3;7.0
369;119;6;2;5.0
370;119;4;3;22.0
371;119;13;3;7.5
372;120;6;1;5.0
373;121;7;1;7.0
374;121;4;3;22.0
375;121;13;1;7.5
376;121;11;1;10.0
377;122;7;3;7.0
378;122;1;3;15.0
379;122;10;3;8.0
380;122;9;3;12.0
381;123;8;1;3.5
382;124;6;1;5.0
383;124;11;1;10.0
384;124;7;3;7.0
385;125;5;3;25.0
386;125;7;3;7.0
387;125;1;2;15.0
388;126;12;1;9.0
389;126;8;2;3.5
390;127;13;1;7.5
391;127;13;3;7.5
392;127;13;2;7.5
393;127;1;3;15.0
394;127;3;1;20.0
395;128;12;1;9.0
396;128;1;2;15.0
397;129;5;3;25.0
398;129;1;2;15.0
399;129;7;1;7.0
400;130;5;3;25.0
401;131;8;3;3.5
402;131;4;2;22.0
403;132;9;2;12.0
404;132;6;2;5.0
405;132;5;3;25.0
406;132;8;1;3.5
407;133;4;2;22.0
408;133;10;3;8.0
409;133;5;1;25.0
410;133;8;3;3.5
411;134;8;1;3.5
412;135;13;3;7.5
413;135;13;2;7.5
414;135;6;3;5.0
415;136;6;3;5.0
416;136;1;2;15.0
417;136;5;3;25.0
418;136;7;2;7.0
419;137;3;1;20.0
420;137;10;1;8.0
421;137;3;2;20.0
422;137;9;1;12.0
423;138;12;1;9.0
424;138;8;2;3.5
425;138;9;1;12.0
426;138;4;3;22.0
427;138;5;1;25.0
428;139;10;1;8.0
429;139;6;1;5.0
430;140;5;1;25.0
431;140;6;1;5.0
432;140;3;3;20.0
433;141;6;3;5.0
434;141;5;2;25.0
435;142;8;1;3.5
436;142;6;2;5.0
437;142;8;2;3.5
438;143;7;1;7.0
439;143;3;3;20.0
440;143;10;1;8.0
441;143;13;1;7.5
442;144;6;2;5.0
443;144;5;2;25.0
444;144;8;1;3.5
445;144;9;3;12.0
446;144;5;1;25.0
447;145;6;3;5.0
448;145;1;2;15.0
449;146;11;1;10.0
450;146;5;2;25.0
451;146;13;2;7.5
452;146;13;1;7.5
453;147;8;2;3.5
454;147;1;2;15.0
455;147;3;1;20.0
456;148;12;3;9.0
457;148;12;3;9.0
458;149;4;1;22.0
459;149;6;2;5.0
460;150;11;3;10.0
461;150;1;2;15.0
462;150;11;1;10.0
463;150;6;2;5.0
464;151;4;1;22.0
465;151;5;3;25.0
466;152;3;3;20.0
467;152;13;1;7.5
468;152;5;3;25.0
469;152;11;2;10.0
470;152;2;2;18.0
471;153;8;1;3.5
472;153;12;2;9.0
473;153;5;2;25.0
474;153;4;2;22.0
475;153;11;2;10.0
476;154;11;2;10.0
477;154;12;1;9.0
478;154;1;2;15.0
479;154;10;1;8.0
480;155;13;3;7.5
481;155;9;1;12.0
482;155;12;2;9.0
483;156;2;1;18.0
484;156;8;3;3.5
485;156;12;2;9.0
486;156;13;3;7.5
487;157;2;2;18.0
488;157;1;1;15.0
489;157;5;3;25.0
490;157;1;1;15.0
491;157;11;1;10.0
492;158;11;2;10.0
493;159;9;2;12.0
494;160;11;1;10.0
495;160;3;3;20.0
496;161;12;3;9.0
497;161;4;1;22.0
498;162;7;3;7.0
499;163;9;2;12.0
500;163;13;3;7.5
501;163;12;1;9.0
502;163;1;3;15.0
503;163;13;1;7.5
504;164;12;2;9.0
505;164;8;2;3.5
506;165;6;1;5.0
507;165;3;2;20.0
508;165;2;1;18.0
509;165;4;3;22.0
510;166;10;3;8.0
511;166;7;2;7.0
512;166;9;1;12.0
513;166;6;1;5.0
514;167;5;2;25.0
515;167;1;1;15.0
516;167;8;3;3.5
517;167;3;2;20.0
518;167;12;2;9.0
519;168;1;1;15.0
520;168;5;3;25.0
521;169;8;1;3.5
522;169;11;3;10.0
523;169;6;2;5.0
524;169;8;3;3.5
525;170;9;2;12.0
526;170;11;3;10.0
527;171;5;3;25.0
528;171;10;3;8.0
529;172;8;3;3.5
530;172;13;3;7.5
531;172;11;3;10.0
532;172;1;2;15.0
533;173;6;3;5.0
534;174;5;3;25.0
535;174;9;1;12.0
536;174;4;3;22.0
537;174;5;1;25.0
538;175;9;2;12.0
539;175;10;2;8.0
540;175;5;2;25.0
541;175;9;3;12.0
542;175;13;2;7.5
543;176;5;2;25.0
544;176;10;1;8.0
545;176;11;3;10.0
546;177;2;2;18.0
547;177;12;3;9.0
548;177;13;3;7.5
549;177;2;2;18.0
550;178;11;3;10.0
551;178;6;2;5.0
552;179;13;3;7.5
553;179;1;2;15.0
554;180;6;3;5.0
555;180;12;3;9.0
556;180;6;2;5.0
557;180;1;1;15.0
558;181;11;3;10.0
559;181;7;1;7.0
560;181;11;1;10.0
561;182;6;3;5.0
562;182;2;3;18.0
563;182;5;1;25.0
564;182;7;1;7.0
565;183;2;2;18.0
566;183;10;2;8.0
567;183;10;2;8.0
568;184;13;1;7.5
569;184;10;3;8.0
570;184;4;2;22.0
571;185;7;2;7.0
572;185;6;2;5.0
573;185;6;2;5.0
574;185;9;3;12.0
575;185;4;1;22.0
576;186;2;3;18.0
577;186;12;2;9.0
578;187;2;2;18.0
579;187;5;2;25.0
580;188;13;3;7.5
581;188;5;3;25.0
582;188;1;3;15.0
583;189;1;2;15.0
584;189;11;3;10.0
585;190;7;3;7.0
586;191;7;3;7.0
587;191;7;2;7.0
588;191;7;2;7.0
589;192;13;2;7.5
590;192;3;2;20.0
591;193;11;2;10.0
592;194;6;1;5.0
593;194;11;1;10.0
594;194;2;3;18.0
595;194;13;2;7.5
596;194;1;1;15.0
597;195;9;1;12.0
598;195;3;2;20.0
599;196;1;3;15.0
600;197;13;3;7.5
601;197;4;1;22.0
602;197;10;2;8.0
603;197;6;1;5.0
604;198;2;2;18.0
605;198;13;3;7.5
606;198;5;1;25.0
607;198;12;2;9.0
608;199;9;1;12.0
609;200;3;2;20.0
610;200;4;2;22.0
611;200;1;1;15.0
612;201;3;3;20.0
613;201;1;3;15.0
614;201;4;1;22.0
615;202;3;1;20.0
616;202;2;1;18.0
617;203;2;2;18.0
618;203;13;2;7.5
619;203;2;1;18.0
620;203;2;3;18.0
621;204;6;1;5.0
622;204;12;1;9.0
623;204;4;3;22.0
624;205;4;3;22.0
625;205;1;3;15.0
626;205;9;2;12.0
627;206;5;2;25.0
628;206;11;2;10.0
629;206;1;2;15.0
630;206;13;1;7.5
631;207;4;3;22.0
632;207;7;1;7.0
633;207;3;2;20.0
634;207;5;2;25.0
635;207;1;2;15.0
636;208;7;2;7.0
637;208;8;1;3.5
638;208;3;2;20.0
639;209;10;3;8.0
640;210;2;2;18.0
641;210;6;2;5.0
642;211;7;3;7.0
643;211;8;1;3.5
644;211;3;2;20.0
645;212;2;3;18.0
646;212;12;2;9.0
647;212;8;1;3.5
648;213;12;2;9.0
649;213;10;3;8.0
650;213;8;2;3.5
651;213;3;2;20.0
652;213;2;2;18.0
653;214;2;3;18.0
654;215;3;2;20.0
655;215;8;3;3.5
656;216;6;2;5.0
657;216;5;1;25.0
658;216;12;2;9.0
659;217;10;1;8.0
660;217;2;2;18.0
661;218;5;1;25.0
662;218;12;1;9.0
663;218;8;1;3.5
664;218;2;2;18.0
665;219;13;2;7.5
666;219;5;2;25.0
667;219;2;2;18.0
668;220;4;2;22.0
669;220;11;3;10.0
670;220;13;3;7.5
671;221;7;2;7.0
672;221;3;3;20.0
673;221;8;1;3.5
674;221;5;1;25.0
675;222;3;1;20.0
676;222;4;2;22.0
677;222;12;2;9.0
678;222;2;2;18.0
679;222;7;2;7.0
680;223;6;3;5.0
681;223;1;2;15.0
682;223;13;2;7.5
683;224;8;1;3.5
684;224;8;3;3.5
685;225;4;1;22.0
686;226;11;1;10.0
687;226;13;3;7.5
688;227;6;2;5.0
689;227;6;1;5.0
690;227;13;1;7.5
691;227;6;3;5.0
692;227;9;1;12.0
693;228;8;2;3.5
694;229;8;1;3.5
695;229;9;2;12.0
696;230;10;2;8.0
697;230;2;3;18.0
698;231;1;3;15.0
699;231;4;2;22.0
700;231;7;1;7.0
701;231;9;1;12.0
702;232;6;3;5.0
703;232;5;2;25.0
704;232;1;1;15.0
705;232;6;3;5.0
706;232;1;1;15.0
707;233;5;1;25.0
708;233;5;3;25.0
709;233;5;2;25.0
710;233;6;1;5.0
711;234;9;2;12.0
712;235;8;1;3.5
713;235;5;2;25.0
714;235;3;2;20.0
715;235;2;3;18.0
716;236;13;2;7.5
717;236;6;1;5.0
718;236;5;2;25.0
719;236;1;2;15.0
720;236;5;1;25.0
721;237;12;2;9.0
722;237;5;2;25.0
723;237;10;2;8.0
724;238;11;3;10.0
725;238;13;2;7.5
726;238;12;3;9.0
727;239;1;1;15.0
728;240;10;1;8.0
729;240;3;3;20.0
730;240;3;2;20.0
731;241;2;3;18.0
732;241;4;2;22.0
733;241;6;1;5.0
734;241;6;2;5.0
735;242;8;1;3.5
736;243;11;3;10.0
737;243;12;3;9.0
738;243;12;3;9.0
739;243;12;2;9.0
740;243;7;1;7.0
741;244;6;3;5.0
742;245;11;3;10.0
743;246;7;1;7.0
744;246;7;1;7.0
745;247;1;3;15.0
746;247;12;1;9.0
747;248;9;3;12.0
748;249;11;3;10.0
749;249;5;1;25.0
750;249;7;2;7.0
751;250;9;3;12.0
752;250;4;1;22.0
753;251;5;2;25.0
754;251;9;2;12.0
755;251;12;1;9.0
756;251;5;1;25.0
757;251;7;2;7.0
758;252;3;2;20.0
759;252;12;3;9.0
760;252;10;2;8.0
761;252;11;2;10.0
762;253;7;2;7.0
763;253;11;3;10.0
764;254;10;1;8.0
765;255;7;2;7.0
766;255;9;2;12.0
767;255;12;3;9.0
768;256;6;2;5.0
769;256;10;2;8.0
770;256;12;3;9.0
771;256;8;3;3.5
772;257;9;1;12.0
773;257;13;2;7.5
774;258;9;1;12.0
775;258;5;1;25.0
776;258;7;3;7.0
777;259;4;2;22.0
778;259;13;2;7.5
779;259;7;2;7.0
780;260;2;3;18.0
781;260;7;3;7.0
782;260;11;3;10.0
783;261;8;3;3.5
784;262;3;1;20.0
785;262;1;2;15.0
786;262;11;1;10.0
787;262;7;1;7.0
788;262;1;2;15.0
789;263;12;2;9.0
790;263;1;2;15.0
791;263;6;1;5.0
792;264;1;1;15.0
793;264;13;2;7.5
794;264;4;1;22.0
795;264;1;3;15.0
796;265;10;3;8.0
797;265;8;2;3.5
798;266;13;1;7.5
799;266;6;1;5.0
800;266;5;2;25.0
801;266;12;2;9.0
802;267;8;3;3.5
803;268;2;3;18.0
804;269;13;1;7.5
805;269;4;2;22.0
806;269;2;3;18.0
807;269;5;1;25.0
808;270;5;3;25.0
809;270;2;1;18.0
810;270;6;3;5.0
811;270;1;3;15.0
812;270;7;2;7.0
813;271;5;3;25.0
814;272;9;3;12.0
815;273;3;1;20.0
816;273;8;2;3.5
817;273;5;3;25.0
818;273;9;2;12.0
819;274;3;3;20.0
820;275;8;1;3.5
821;275;4;1;22.0
822;275;9;1;12.0
823;275;8;1;3.5
824;275;8;3;3.5
825;276;4;1;22.0
826;276;3;3;20.0
827;276;8;2;3.5
828;276;2;1;18.0
829;276;10;1;8.0
830;277;1;1;15.0
831;277;11;3;10.0
832;277;5;2;25.0
833;277;12;2;9.0
834;277;7;3;7.0
835;278;5;3;25.0
836;278;9;2;12.0
837;279;8;1;3.5
838;279;10;1;8.0
839;279;1;3;15.0
840;279;12;3;9.0
841;279;7;3;7.0
842;280;1;2;15.0
843;280;13;3;7.5
844;280;13;2;7.5
845;280;1;3;15.0
846;280;7;1;7.0
847;281;12;2;9.0
848;281;8;1;3.5
849;282;13;1;7.5
850;282;9;3;12.0
851;282;12;3;9.0
852;283;3;1;20.0
853;284;2;1;18.0
854;284;4;2;22.0
855;284;9;2;12.0
856;284;6;1;5.0
857;284;13;1;7.5
858;285;8;1;3.5
859;286;10;1;8.0
860;286;7;2;7.0
861;286;4;1;22.0
862;286;1;2;15.0
863;287;1;3;15.0
864;288;5;3;25.0
865;288;6;1;5.0
866;289;2;3;18.0
867;290;9;1;12.0
868;291;13;2;7.5
869;292;9;3;12.0
870;292;8;3;3.5
871;292;8;2;3.5
872;293;6;2;5.0
873;293;3;3;20.0
874;293;3;1;20.0
875;294;8;3;3.5
876;294;11;3;10.0
877;294;4;3;22.0
878;294;3;2;20.0
879;295;6;2;5.0
880;295;4;3;22.0
881;296;8;3;3.5
882;297;11;1;10.0
883;298;11;3;10.0
884;299;1;1;15.0
885;300;3;3;20.0
886;300;4;2;22.0
887;300;5;2;25.0
888;301;13;3;7.5
889;301;6;1;5.0
890;301;11;1;10.0
891;301;9;1;12.0
892;302;3;1;20.0
893;302;12;3;9.0
894;302;8;3;3.5
895;302;12;1;9.0
896;302;6;2;5.0
897;303;10;3;8.0
898;303;6;2;5.0
899;304;1;2;15.0
900;305;13;3;7.5
901;305;5;2;25.0
902;305;13;1;7.5
903;305;9;2;12.0
904;306;5;3;25.0
905;306;7;1;7.0
906;306;9;2;12.0
907;306;13;3;7.5
908;306;5;2;25.0
909;307;3;2;20.0
910;307;8;2;3.5
911;307;13;1;7.5
912;307;2;1;18.0
913;308;2;1;18.0
914;308;13;1;7.5
915;308;2;2;18.0
916;309;7;2;7.0
917;309;5;1;25.0
918;309;8;1;3.5
919;309;3;2;20.0
920;309;11;1;10.0
921;310;11;3;10.0
922;310;13;1;7.5
923;310;3;1;20.0
924;310;1;3;15.0
925;311;13;2;7.5
926;311;3;2;20.0
927;311;11;1;10.0
928;312;6;1;5.0
929;312;13;1;7.5
930;312;3;1;20.0
931;312;8;2;3.5
932;313;1;1;15.0
933;313;10;1;8.0
934;313;6;1;5.0
935;313;4;2;22.0
936;314;3;2;20.0
937;314;2;2;18.0
938;314;4;2;22.0
939;314;2;1;18.0
940;314;11;1;10.0
941;315;6;1;5.0
942;315;2;3;18.0
943;315;3;2;20.0
944;316;4;1;22.0
945;317;7;3;7.0
946;317;10;1;8.0
947;318;3;2;20.0
948;318;7;1;7.0
949;318;5;2;25.0
950;318;8;1;3.5
951;318;1;1;15.0
952;319;13;2;7.5
953;319;6;3;5.0
954;319;1;2;15.0
955;320;3;3;20.0
956;320;9;3;12.0
957;320;2;3;18.0
958;320;11;3;10.0
959;321;12;3;9.0
960;321;12;2;9.0
961;321;10;1;8.0
962;322;12;1;9.0
963;322;2;3;18.0
964;323;6;3;5.0
965;323;12;2;9.0
966;324;6;1;5.0
967;325;6;2;5.0
968;326;6;1;5.0
969;326;9;2;12.0
970;327;13;2;7.5
971;327;5;2;25.0
972;327;7;3;7.0
973;327;12;3;9.0
974;327;13;2;7.5
975;328;6;3;5.0
976;328;10;3;8.0
977;328;2;1;18.0
978;328;7;3;7.0
979;328;7;1;7.0
980;329;8;2;3.5
981;329;11;1;10.0
982;329;13;3;7.5
983;329;7;1;7.0
984;330;4;2;22.0
985;331;12;1;9.0
986;331;3;3;20.0
987;331;10;1;8.0
988;331;9;1;12.0
989;332;2;3;18.0
990;333;7;1;7.0
991;333;7;2;7.0
992;334;7;3;7.0
993;334;6;3;5.0
994;334;11;1;10.0
995;334;8;3;3.5
996;334;10;2;8.0
997;335;3;3;20.0
998;335;3;3;20.0
999;335;8;1;3.5
1000;335;10;2;8.0
1001;335;4;3;22.0
1002;336;1;1;15.0
1003;336;13;2;7.5
1004;337;11;2;10.0
1005;337;9;1;12.0
1006;337;2;2;18.0
1007;337;4;1;22.0
1008;338;10;2;8.0
1009;338;2;1;18.0
1010;338;8;1;3.5
1011;338;8;2;3.5
1012;339;2;2;18.0
1013;339;7;2;7.0
1014;339;11;3;10.0
1015;340;3;2;20.0
1016;341;7;1;7.0
1017;341;13;3;7.5
1018;341;3;3;20.0
1019;341;10;2;8.0
1020;342;1;1;15.0
1021;342;7;2;7.0
1022;343;12;1;9.0
1023;343;11;1;10.0
1024;343;7;2;7.0
1025;343;13;1;7.5
1026;344;12;2;9.0
1027;344;2;3;18.0
1028;344;4;3;22.0
1029;344;1;1;15.0
1030;344;4;3;22.0
1031;345;12;3;9.0
1032;346;10;1;8.0
1033;346;10;1;8.0
1034;346;4;1;22.0
1035;347;5;3;25.0
1036;348;6;1;5.0
1037;348;11;3;10.0
1038;348;6;1;5.0
1039;348;5;2;25.0
1040;348;7;2;7.0
1041;349;10;3;8.0
1042;349;1;1;15.0
1043;349;4;2;22.0
1044;349;2;1;18.0
1045;349;4;1;22.0
1046;350;10;1;8.0
1047;350;3;3;20.0
1048;350;4;1;22.0
1049;350;13;3;7.5
1050;350;7;2;7.0
1051;351;3;2;20.0
1052;351;8;3;3.5
1053;351;12;3;9.0
1054;351;4;3;22.0
1055;351;4;2;22.0
1056;352;9;1;12.0
1057;352;13;3;7.5
1058;353;3;2;20.0
1059;353;1;3;15.0
1060;353;9;3;12.0
1061;354;5;1;25.0
1062;354;6;1;5.0
1063;354;8;3;3.5
1064;354;7;3;7.0
1065;354;5;1;25.0
1066;355;1;2;15.0
1067;355;5;2;25.0
1068;355;10;2;8.0
1069;355;1;1;15.0
1070;355;4;1;22.0
1071;356;5;3;25.0
1072;356;6;2;5.0
1073;356;4;2;22.0
1074;356;9;1;12.0
1075;357;6;3;5.0
1076;357;12;2;9.0
1077;357;1;3;15.0
1078;358;9;3;12.0
1079;359;1;1;15.0
1080;359;9;3;12.0
1081;359;9;3;12.0
1082;360;6;3;5.0
1083;360;10;1;8.0
1084;360;6;3;5.0
1085;361;9;1;12.0
1086;361;7;3;7.0
1087;361;3;1;20.0
1088;362;6;1;5.0
1089;362;11;1;10.0
1090;362;12;2;9.0
1091;362;10;2;8.0
1092;362;9;1;12.0
1093;363;13;1;7.5
1094;363;1;1;15.0
1095;363;7;1;7.0
1096;363;4;2;22.0
1097;363;13;1;7.5
1098;364;6;3;5.0
1099;364;7;3;7.0
1100;365;8;2;3.5
1101;366;5;3;25.0
1102;366;13;2;7.5
1103;366;8;2;3.5
1104;366;10;3;8.0
1105;367;4;2;22.0
1106;367;9;3;12.0
1107;367;1;1;15.0
1108;368;4;1;22.0
1109;369;8;2;3.5
1110;370;8;3;3.5
1111;370;9;1;12.0
1112;371;10;3;8.0
1113;371;8;3;3.5
1114;371;7;1;7.0
1115;371;11;3;10.0
1116;372;2;3;18.0
1117;372;4;1;22.0
1118;372;6;2;5.0
1119;373;4;2;22.0
1120;373;1;2;15.0
1121;373;6;3;5.0
1122;373;7;1;7.0
1123;374;12;2;9.0
1124;374;9;1;12.0
1125;375;6;3;5.0
1126;375;6;1;5.0
1127;375;3;2;20.0
1128;375;11;1;10.0
1129;375;6;3;5.0
1130;376;13;1;7.5
1131;377;9;2;12.0
1132;377;9;1;12.0
1133;377;6;1;5.0
1134;378;1;1;15.0
1135;378;12;1;9.0
1136;378;5;1;25.0
1137;378;6;1;5.0
1138;378;12;1;9.0
1139;379;1;3;15.0
1140;379;11;2;10.0
1141;380;9;2;12.0
1142;380;5;1;25.0
1143;380;2;1;18.0
1144;380;9;3;12.0
1145;381;10;3;8.0
1146;382;5;2;25.0
1147;382;12;3;9.0
1148;382;6;2;5.0
1149;383;3;2;20.0
